c_Pnome_jogador,c_Unome_jogador,n_camisa,d_data_nascimento,c_posicao,c_nome_time
MATHEUS,PAULO,30,,MEIO-CAMPO,Vitoria
JANDERSON,,39,,ATACANTE,Vitoria
GABRIEL,CARVALHO,34,,MEIO-CAMPO,Internacional
MICHEL,ARAÚJO,15,,MEIO-CAMPO,Sao Paulo
DUDU,,20,,ZAGUEIRO,Criciuma
CAIO,PAULISTA,16,,ZAGUEIRO,Palmeiras
GUILHERME,ALMEIDA,31,,ZAGUEIRO,Bragantino
THIAGO,BORBAS,18,,ATACANTE,Bragantino
RODRIGO,GARRO,10,,MEIO-CAMPO,Corinthians
JOÃO,RIEDI,1,,GOLEIRO,Fortaleza
JOÃO,CRUZ,57,,MEIO-CAMPO,Athletico-PR
RÔMULO,ZWARG,40,,MEIO-CAMPO,Internacional
RODRIGO,SAM,34,,ZAGUEIRO,Juventude
DAMIÁN,BOBADILLA,21,,MEIO-CAMPO,Sao Paulo
THIAGO,SILVA,3,,ZAGUEIRO,Fluminense
AYRTON,MEDEIROS,6,,ZAGUEIRO,Flamengo
TALLES,MAGNO,43,,MEIO-CAMPO,Corinthians
FÉLIX,TORRES,3,,ZAGUEIRO,Corinthians
BERNARD,,20,,ATACANTE,Atletico-MG
GUSTAVO,MARTINS,53,,ZAGUEIRO,Gremio
EMILIANO,RODRÍGUEZ,19,,ATACANTE,Atletico-GO
CÁSSIO,RAMOS,1,,GOLEIRO,Cruzeiro
FERNANDO,MARÇAL,21,,ZAGUEIRO,Botafogo-RJ
KERVIN,ANDRADE,77,,ATACANTE,Fortaleza
GUSTAVINHO,,22,,MEIO-CAMPO,Bragantino
PATRICK,PAULA,85,,MEIO-CAMPO,Criciuma
BRUNO,TABATA,17,,MEIO-CAMPO,Internacional
JAPA,,77,,MEIO-CAMPO,Cruzeiro
GABRIEL,MERCADO,25,,ZAGUEIRO,Internacional
ANTHONI,,24,,GOLEIRO,Internacional
HIGOR,MERITÃO,5,,MEIO-CAMPO,Criciuma
FRANCO,CRISTALDO,10,,MEIO-CAMPO,Gremio
MARCELO,HERMES,22,,MEIO-CAMPO,Criciuma
HÉRCULES,,35,,MEIO-CAMPO,Fortaleza
RENATO,KAYZER,79,,ATACANTE,Fortaleza
LUCAS,HALTER,3,,ZAGUEIRO,Botafogo-RJ
MARCOS,MONTEIRO,22,,GOLEIRO,Bahia
PAULINHO,,10,,ATACANTE,Atletico-MG
BRUNO,TUBARÃO,2,,ZAGUEIRO,Atletico-GO
JORGINHO,,18,,MEIO-CAMPO,Atletico-GO
DUDU,VIEIRA,30,,MEIO-CAMPO,Juventude
DANILO,BOZA,4,,ZAGUEIRO,Juventude
JEFFERSON,SAVARINO,10,,MEIO-CAMPO,Botafogo-RJ
BRUNO,ZAPELLI,10,,MEIO-CAMPO,Athletico-PR
ROSSICLEY,SILVA,31,,MEIO-CAMPO,Vasco
RYAN,,37,,MEIO-CAMPO,Corinthians
ANDRÉ,,7,,MEIO-CAMPO,Fluminense
HENRY,MOSQUERA,30,,ATACANTE,Bragantino
HÉLIO,CASTRO,11,,MEIO-CAMPO,Bragantino
VITOR,SANTOS,28,,ATACANTE,Bragantino
JUAN,TAVARES,63,,MEIO-CAMPO,Cuiaba
NATHAN,,14,,MEIO-CAMPO,Gremio
PABLO,BAIANINHO,62,,MEIO-CAMPO,Vitoria
GUILHERME,ROMÃO,6,,ZAGUEIRO,Atletico-GO
LIZIERO,,26,,MEIO-CAMPO,Sao Paulo
MATEUS,CLAUS,77,,GOLEIRO,Juventude
ÓSCAR,ROMERO,70,,MEIO-CAMPO,Botafogo-RJ
ERICK,FARIAS,7,,MEIO-CAMPO,Juventude
ALEXSANDER,,5,,MEIO-CAMPO,Fluminense
VICTOR,LUIS,12,,ZAGUEIRO,Vasco
RAYAN,,77,,ATACANTE,Vasco
LUCÃO,,40,,GOLEIRO,Bragantino
NATHAN,,45,,ZAGUEIRO,Bragantino
CADU,,42,,ATACANTE,Atletico-MG
EDENÍLSON,SANTOS,15,,MEIO-CAMPO,Gremio
CAÍQUE,SANTOS,97,,GOLEIRO,Gremio
MARQUINHOS,,10,,MEIO-CAMPO,Criciuma
LUCAS,SASHA,88,,MEIO-CAMPO,Fortaleza
JUAN,DINENNO,19,,ATACANTE,Cruzeiro
LAUTARO,DÍAZ,26,,MEIO-CAMPO,Cruzeiro
CARLOS,PENA,14,,MEIO-CAMPO,Bahia
CAULY,,8,,MEIO-CAMPO,Bahia
THIAGUINHO,,8,,MEIO-CAMPO,Juventude
MATHEUS,GONÇALVES,20,,MEIO-CAMPO,Flamengo
JUNIOR,ALONSO,8,,ZAGUEIRO,Atletico-MG
ALLAN,LOUREIRO,28,,MEIO-CAMPO,Botafogo-RJ
GABRIEL,SILVA,19,,ATACANTE,Vasco
ADSON,,28,,MEIO-CAMPO,Vasco
ALEX,SANTANA,80,,MEIO-CAMPO,Corinthians
DAVID,FONSECA,7,,MEIO-CAMPO,Vasco
PEDRO,SILVA,4,,ZAGUEIRO,Atletico-GO
LUIZ,ARAÚJO,7,,MEIO-CAMPO,Flamengo
PEDRO,,9,,ATACANTE,Flamengo
GUSTAVO,NONATO,16,,MEIO-CAMPO,Fluminense
FABRICIO,BUSTOS,16,,ZAGUEIRO,Internacional
MURIEL,BECKER,22,,GOLEIRO,Vitoria
OSVALDO,FILHO,11,,MEIO-CAMPO,Vitoria
JOSÉ,BRENO,50,,MEIO-CAMPO,Vitoria
RAPHAEL,VEIGA,23,,MEIO-CAMPO,Palmeiras
VÍCTOR,CUESTA,15,,ZAGUEIRO,Bahia
MAX,,22,,ATACANTE,Atletico-GO
JULIO,MIRANDA,5,,MEIO-CAMPO,Bahia
GABRIEL,INOCÊNCIO,12,,ZAGUEIRO,Juventude
GUGA,,23,,ZAGUEIRO,Fluminense
CAIQUE,GONÇALVES,95,,MEIO-CAMPO,Juventude
GABRIEL,TEIXEIRA,11,,ATACANTE,Bahia
REYNALDO,MORAES,40,,ZAGUEIRO,Vitoria
LAWAN,,33,,ATACANTE,Vitoria
FELIPE,CARBALLO,8,,MEIO-CAMPO,Gremio
MAURÍCIO,,18,,MEIO-CAMPO,Palmeiras
