data,hora,n_placar_visitante,n_placar_casa,c_nome_estadio,c_time_casa,c_time_visitante,n_rodada,d_ano_campeonato
2023-08-13,11:00,0,1,Mineirão,Atletico-MG,Bahia,19,2023
2023-08-13,15:59,1,0,Estádio Raimundo Sampaio,America-MG,Goias,19,2023
2023-08-13,16:00,1,2,Arena do Grêmio,Gremio,Fluminense,19,2023
2023-08-13,16:01,1,3,Neo Química Arena,Corinthians,Coritiba,19,2023
2023-08-13,18:30,0,4,Arena Castelão,Fortaleza,Santos,19,2023
2023-08-13,18:30,1,1,Maracanã,Flamengo,Sao Paulo,19,2023
2023-08-14,19:01,0,1,Allianz Parque,Palmeiras,Cruzeiro,19,2023
2023-08-14,21:00,1,1,Nabizão,Bragantino,Vasco,19,2023
2023-08-15,20:00,0,2,Ligga Arena,Athletico-PR,Cuiaba,19,2023
2023-08-19,15:59,1,0,Estádio Beira-Rio,Internacional,Fortaleza,20,2023
2023-08-19,16:02,0,0,Morumbi,Sao Paulo,Botafogo-RJ,20,2023
2023-08-19,18:30,2,0,Arena Pantanal,Cuiaba,Palmeiras,20,2023
2023-08-19,18:30,1,3,Maracanã,Fluminense,America-MG,20,2023
2023-08-19,21:00,1,1,Mineirão,Cruzeiro,Corinthians,20,2023
2023-08-20,11:00,0,1,Maracanã,Vasco,Atletico-MG,20,2023
2023-08-20,16:00,0,4,Itaipava Arena Fonte Nova,Bahia,Bragantino,20,2023
2023-08-20,16:00,1,2,Estádio Urbano Caldeira,Santos,Gremio,20,2023
2023-08-20,16:01,3,2,Couto Pereira,Coritiba,Flamengo,20,2023
2023-08-21,19:59,1,1,Estádio Hailé Pinheiro - Serrinha,Goias,Athletico-PR,20,2023
2023-08-26,18:31,0,0,Maracanã,Flamengo,Internacional,21,2023
2023-08-26,21:02,1,1,Neo Química Arena,Corinthians,Goias,21,2023
2023-08-27,11:00,0,2,Nabizão,Bragantino,Cuiaba,21,2023
2023-08-27,16:00,0,3,Estádio Nilton Santos,Botafogo-RJ,Bahia,21,2023
2023-08-27,16:00,1,2,Estádio Raimundo Sampaio,America-MG,Sao Paulo,21,2023
2023-08-27,16:01,0,2,Arena MRV,Atletico-MG,Santos,21,2023
2023-08-27,18:30,0,1,Allianz Parque,Palmeiras,Vasco,21,2023
2023-08-27,18:30,1,3,Estádio Presidente Vargas,Fortaleza,Coritiba,21,2023
2023-08-27,18:30,2,2,Ligga Arena,Athletico-PR,Fluminense,21,2023
2023-08-27,18:59,0,3,Arena do Grêmio,Gremio,Cruzeiro,21,2023
2023-09-02,15:59,0,0,Estádio Hailé Pinheiro - Serrinha,Goias,Internacional,22,2023
2023-09-02,16:00,1,1,Ligga Arena,Athletico-PR,Atletico-MG,22,2023
2023-09-02,21:18,2,1,Estádio Nilton Santos,Botafogo-RJ,Flamengo,22,2023
2023-09-03,11:00,0,2,Arena do Grêmio,Gremio,Cuiaba,22,2023
2023-09-03,16:00,0,1,Estádio Municipal General Raulino de Oliveira,Fluminense,Fortaleza,22,2023
2023-09-03,16:03,0,0,Neo Química Arena,Corinthians,Palmeiras,22,2023
2023-09-03,18:30,1,1,Itaipava Arena Fonte Nova,Bahia,Vasco,22,2023
2023-09-03,18:30,0,0,Mineirão,Cruzeiro,Bragantino,22,2023
2023-09-03,18:30,0,2,Estádio Raimundo Sampaio,America-MG,Santos,22,2023
2023-09-13,21:30,3,0,Kléber Andrade,Flamengo,Athletico-PR,23,2023
2023-09-13,21:30,1,2,Estádio Beira-Rio,Internacional,Sao Paulo,23,2023
2023-09-14,19:01,3,0,Estádio Urbano Caldeira,Santos,Cruzeiro,23,2023
2023-09-14,19:02,1,2,Arena Castelão,Fortaleza,Corinthians,23,2023
2023-09-14,20:03,4,2,Couto Pereira,Coritiba,Bahia,23,2023
2023-09-14,21:30,0,2,Nabizão,Bragantino,Gremio,23,2023
2023-09-15,20:00,2,2,Arena Pantanal,Cuiaba,America-MG,23,2023
2023-09-15,21:30,0,1,Allianz Parque,Palmeiras,Goias,23,2023
2023-09-16,16:00,2,4,Estádio Nilton Santos,Vasco,Fluminense,23,2023
2023-09-16,21:01,0,1,Arena MRV,Atletico-MG,Botafogo-RJ,23,2023
2023-09-18,21:01,4,4,Neo Química Arena,Corinthians,Gremio,15,2023
2023-09-18,20:03,2,1,Itaipava Arena Fonte Nova,Bahia,Santos,24,2023
2023-09-19,21:30,2,0,Estádio Raimundo Sampaio,America-MG,Bragantino,24,2023
2023-09-20,18:59,0,0,Estádio Hailé Pinheiro - Serrinha,Goias,Flamengo,24,2023
2023-09-20,21:30,0,1,Maracanã,Fluminense,Cruzeiro,24,2023
2023-09-20,21:31,2,1,Morumbi,Sao Paulo,Fortaleza,24,2023
2023-09-21,19:00,1,5,Estádio São Januário,Vasco,Coritiba,24,2023
2023-09-21,19:30,1,2,Ligga Arena,Athletico-PR,Internacional,24,2023
2023-09-21,21:31,0,1,Arena do Grêmio,Gremio,Palmeiras,24,2023
2023-09-22,20:02,0,1,Neo Química Arena,Corinthians,Botafogo-RJ,24,2023
2023-09-23,21:00,0,1,Arena MRV,Atletico-MG,Cuiaba,24,2023
2023-09-25,20:00,1,0,Estádio Raimundo Sampaio,America-MG,Vasco,15,2023
2023-09-27,19:00,1,2,Morumbi,Sao Paulo,Coritiba,22,2023
2023-09-30,16:00,0,1,Maracanã,Flamengo,Bahia,25,2023
2023-09-30,16:00,1,1,Arena Castelão,Fortaleza,Gremio,25,2023
2023-09-30,18:30,1,2,Morumbi,Sao Paulo,Corinthians,25,2023
